disappeared,zniknął
hold on,czekaj
to achieve,osiągać
to admit,przyznać
to afford sth,pozwolić sobie na coś
to aim,celować
to allow,dopuszczać
to amaze,zadziwiać
to annoy,denerwować
to appear,zjawiać się
to apply for loan,ubiegaź się o pozyczkę
to apply,zastosować
to appoint,wyznaczyć
to approach,zbliżać się
to argue,kłócić się
to arrive,przybyć
to attract,pociągać
to bark,szczekać
to be afraid of,bać się
to be ashamed of sth,wstydzić się czegoś
to be ashamed,wstydzić się
to be worth,być wart
to beck,przyzwać kogoś / skonąć na kogoś (from beckon)
to behave,zachowywać się
to biol,gotować
to bite,gryźć
to borrow something from someone,pożyczać coś od kogoś
to brake,hamować
to breathe,oddychać
to breed,rozmnażać/hodować
to bring / brought,przynieść
to burst out,wybuchnąć
to buy/bought,On kupił
to calculate,obliczać
to capture,zdobyć / schwytać
to carry on,kontynuować
to climb,wspinać się
to comb,czesać
to come up with,wymyślać
to compete,rywalizować
to complain,narzekać / składać reklamację
to confirm,potwierdzać
to convince,przekonać
to convince,przekonać
to cry,płakać
to daresay, śmiem powiedzieć /  przypuszczać / sądzić że coś jest prawdopdoobne "But I daresay that most of that I do is too"
to deceive,oszukać
to decorate,dekorować
to defuse,rozbroić
to describe,opisywać
to detain,zatrzymać
to develop,rozwijać
to dig a hole,kopać dół
to disappear,zniknąć
to discard changes,odrzucać zmiany
to discard,odrzuć
to discuss,dyskutować
to draw attention to,zwróć uwagę na
to draw attention,przyciągać uwagę
to draw,rysować
to drawl,cedzenie / przeciąganie "Speak in a slow, lazy way with prolonged vowel sounds" "'Suits me fine' - he drawled"
to drink/drank,pić
to drive/drove,jechać
to eddy,wirować "the mists from the river eddied around the banks"
to elate,podniecać
to equalize,wyrównać
to establish,przówrócić
to exercise,świczyć
to expect,spodziewać się
to fabricate,zmyślać
to fail on,zawieść
to fall off the ladder,spadać z drabiny
to fall,spadać / padać / opadać
to feel,czuć
to find out,dowiedzieć się
to forestall,uprzedzać
to forget,zapomnieć
to frozen out,wymrażanie
to fry,smażyć
to get down to business,Przejdźmy do rzeczy
to get down to work,zabrać się do pracy
to get down to,zabrać się do
to get down,schodzić
to give lessons,dawać lekcje
to give up on,zrezygnować
to give up smoking,rzucić palenie
to give up,poddać się
to give,dawać
to go on sale,iść na sprzedaż
to gorge,pożerać/obżerać
to greet,powitać
to harm out,wyrządzić krzywdę
to have to/had to,musieć
to hire,wynająć / zatrudniać
to hit,trafić
to hold,utrzymać
to honk,trąbić
to impose,narzucać
to improve,poprawić
to improve,poprawić
to incorporate,włączać / włączyć w sobie
to invent,wynaleźć
to invite,zapraszać
to invite,zaprosić
to jerk,szarpać
to keep,trzymać
to kill,zabić
to last,trwać
to laugh,śmiać się
to lend something to someone,wypożyczać coś komuś
to lend,wypożyczać
to lengthen,przedłużać / wydłużać (fizycznie)
to let,pozwalać
to lie still,leżeć spokojnie
to lose,tracić
to mean,oznaczać
to measure,mierzyć
to need,potrzebować
to occur,pojawiać się
to occur,wydarzyć się
to organize,organizować
to overtake,wyprzedzać
to owe,zawdzięczać
to paddle,osłować
to pave,brukować
to peal off,obrać
to peel,obierać
to persuade oneself,przekonać kogoś
to persuade,namawiać
to pick up,odebrać
to pick,wybierać
to pinpoint the problem,wskazać problem
to pinpoint,sprecyzować
to poison,zatruć
to possess,posiadać
to postpone,odraczać
to preach,kazać
to preach,nauczać
to prefer,woleć
to prefer,woleć
to pretend,udawać
to prolong,przedłużać (w czasie)
to prove,dowodzić / dowieść
to prove,udowadniać
to publish,opublikować
to pull up,zatrzymać się
to put in,włożyć
to quit,porzucić
to rag on sb,naśmiewać się
to re-establish, przywrócić
to reach out,osiągnąć
to reach,dosięgać
to rebuild,odbudować
to recall,przypominać sobie
to receive,dostać / otrzymać
to recognise,rozpoznać
to redecorate,remontować
to refuse to pay,odmówić zapłaty
to refuse to,odmówić
to refuse,odrzucać
to regret,żałować
to remain,pozostać
to remind yourself,przypominać sobie
to renovate,remontować
to rent,wynajmować
to require,wymagać
to resent something,urażony czymś
to rest,odpoczywać
to retreat,wycofać się
to reveal,odsłonić
to rid,pozbyć się
to ring the door,dzwonić do drzwi
to ring you up,charge you at the cash register / to telephone someone
to rise,rosnąć / wstać
to rob,okradać
to sass,pyskować / odpyskować
to say,mówić (coś)
to scare,przestraszyć
to scratch,drapać
to seem,wydawać się
to seem,wydawać się
to sell,sprzedawać
to set up a new business, otworzyć nowy biznes
to set up a new connection or network,skonfiguruj nowe połączenie lub sieć
to set up,ustawić
to set,ustalać
to sew,szyć
to shapen,ostrzyć
to share,dzielić
to shoot,strzelać
to slip, ślizgać się / pośliznąć się
to spoil,zepsuć
to steal the scene,ukraść scenę
to steal the show,ukraść przedstawienie
to steal,kraść
to stole,kraść
to suffer,cierpieć
to syffocation,uduszenie
to take action,podjąć działanie
to take up too much space,zająć za dużo miejsca
to take,zabierać
to tell,powiedzieć (komuś)
to tend,zmierzać
to think up,wymyślać
to thrive,prosperować
to tore off,oderwać
to treat,leczyć
to treat,leczyć
to vest someone,dać komuś odziały "Give them equity/stock of the company over time"
to walk through,przejść przez
to work out,obrobić
